ForkLengthMM,R1FracAge,R2FracAge,R3FracAge,ConsensusFracAge
699,14.5065128,25.5065128,23.5065128,24.5065128
430,3.344976283,3.344976283,4.344976283,3.344976283
380,3.358665818,4.358665818,4.358665818,4.358665818
792,12.45175466,16.45175466,15.45175466,15.45175466
662,16.44627884,13.44627884,15.44627884,15.44627884
735,15.53115396,14.53115396,15.53115396,15.53115396
618,12.53115396,11.53115396,14.53115396,12.53115396
702,16.53115396,16.53115396,17.53115396,16.53115396
655,14.53115396,13.53115396,14.53115396,14.53115396
614,17.11773,14.11773,15.11773,15.11773
710,17.12046791,16.12046791,19.12046791,17.12046791
575,12.12046791,10.12046791,10.12046791,10.12046791
560,15.12046791,15.12046791,14.12046791,15.12046791
454,7.120467908,5.120467908,4.120467908,5.120467908
705,19.12046791,15.12046791,19.12046791,19.12046791
500,8.120467908,9.120467908,10.12046791,9.120467908
745,19.12046791,17.12046791,20.12046791,18.12046791
734,18.12046791,22.12046791,18.12046791,18.12046791
716,15.12046791,15.12046791,19.12046791,15.12046791
760,20.12046791,23.12046791,23.12046791,23.12046791
680,12.12046791,12.12046791,12.12046791,12.12046791
509,10.12046791,8.120467908,8.120467908,8.120467908
544,14.12046791,15.12046791,14.12046791,14.12046791
488,9.120467908,7.120467908,6.120467908,6.120467908
552,16.12046791,17.12046791,16.12046791,16.12046791
657,15.12046791,15.12046791,14.12046791,15.12046791
583,14.12046791,15.12046791,14.12046791,14.12046791
552,14.12046791,13.12046791,13.12046791,13.12046791
643,14.12046791,15.12046791,14.12046791,14.12046791
677,14.12046791,14.12046791,13.12046791,14.12046791
598,15.15879861,14.15879861,14.15879861,14.15879861
665,15.15879861,16.15879861,14.15879861,15.15879861
570,14.15879861,15.15879861,15.15879861,15.15879861
695,14.24914954,14.24914954,14.24914954,14.24914954
690,14.24914954,15.24914954,15.24914954,15.24914954
823,13.24914954,20.24914954,21.24914954,20.24914954
767,19.24914954,20.24914954,20.24914954,20.24914954
790,21.29021814,26.29021814,27.29021814,24.29021814
835,23.29021814,32.29021814,35.29021814,32.29021814
790,17.29021814,20.29021814,19.29021814,17.29021814
825,23.29021814,19.29021814,20.29021814,19.29021814
800,17.29021814,17.29021814,16.29021814,17.29021814
870,23.29021814,19.29021814,22.29021814,19.29021814
760,17.29021814,18.29021814,19.29021814,18.29021814
675,22.29021814,18.29021814,20.29021814,18.29021814
750,19.29295605,16.29295605,19.29295605,19.29295605
800,30.29295605,37.29295605,41.29295605,35.29295605
775,25.29295605,21.29295605,25.29295605,25.29295605
785,23.29295605,17.29295605,21.29295605,18.29295605
760,20.29295605,18.29295605,21.29295605,18.29295605
830,17.29295605,20.29295605,19.29295605,20.29295605
530,8.29295605,8.29295605,8.29295605,8.29295605
672,16.29295605,15.29295605,14.29295605,15.29295605
508,5.29295605,4.29295605,4.29295605,4.29295605
775,20.29295605,26.29295605,24.29295605,24.29295605
594,8.29295605,9.29295605,9.29295605,9.29295605
525,7.295693957,6.295693957,4.295693957,6.295693957
706,11.29569396,14.29569396,10.29569396,13.29569396
750,11.29569396,14.29569396,11.29569396,11.29569396
705,16.29569396,16.29569396,15.29569396,16.29569396
555,10.29569396,11.29569396,11.29569396,11.29569396
555,9.295693957,11.29569396,12.29569396,12.29569396
530,10.29569396,10.29569396,9.295693957,10.29569396
615,15.29569396,15.29569396,16.29569396,15.29569396
726.252,10.29569396,13.29569396,11.29569396,14.29569396
732.967,16.29569396,18.29569396,17.29569396,17.29569396
741.177,11.29569396,18.29569396,17.29569396,17.29569396
760,13.35866582,22.35866582,18.35866582,19.35866582
716,10.35866582,17.35866582,17.35866582,17.35866582
586,8.358665818,13.35866582,14.35866582,13.35866582
655,9.358665818,14.35866582,13.35866582,13.35866582
399,2.369617446,3.369617446,3.369617446,3.369617446
368,3.369617446,4.369617446,3.369617446,3.369617446
540,7.396996516,10.39699652,9.396996516,9.396996516
633,9.48460954,14.48460954,13.48460954,14.48460954
790,10.48460954,10.48460954,9.48460954,10.48460954
670,8.48460954,13.48460954,13.48460954,13.48460954
674,8.48460954,12.48460954,11.48460954,12.48460954
625,10.48460954,14.48460954,10.48460954,10.48460954
653,7.48460954,12.48460954,10.48460954,10.48460954
709,9.48460954,18.48460954,16.48460954,14.48460954
675,10.48734745,14.48734745,14.48734745,14.48734745
612,9.487347447,15.48734745,13.48734745,15.48734745
680,17.04106861,15.04106861,13.04106861,15.04106861
751,13.04106861,21.04106861,19.04106861,19.04106861
671,9.041068605,14.04106861,12.04106861,14.04106861
620,11.04106861,14.04106861,14.04106861,14.04106861
635,10.04106861,14.04106861,13.04106861,15.04106861
665,12.04106861,15.04106861,14.04106861,13.04106861
469,5.041068605,8.041068605,8.041068605,8.041068605
567,9.041068605,10.04106861,9.041068605,9.041068605
582,9.041068605,9.041068605,9.041068605,9.041068605
526,11.11225419,13.11225419,14.11225419,14.11225419
559,6.114992094,8.114992094,8.114992094,8.114992094
495,7.117730001,11.11773,9.117730001,11.11773
637,13.11773,17.11773,13.11773,13.11773
597,7.117730001,8.117730001,7.117730001,4.117730001
754,10.11773,17.11773,15.11773,16.11773
608,10.11773,17.11773,13.11773,15.11773
763,13.11773,19.11773,20.11773,19.11773
780,12.11773,22.11773,24.11773,23.11773
792,13.12868163,18.12868163,21.12868163,19.12868163
662,9.128681629,13.12868163,12.12868163,12.12868163
636,9.128681629,15.12868163,13.12868163,15.12868163
595,9.128681629,17.12868163,18.12868163,16.12868163
721,13.12868163,17.12868163,16.12868163,18.12868163
689,10.12868163,14.12868163,15.12868163,15.12868163
793,12.21355675,16.21355675,19.21355675,17.21355675
730,8.213556747,12.21355675,10.21355675,11.21355675
566,6.213556747,6.213556747,7.213556747,6.213556747
683,10.21355675,11.21355675,10.21355675,10.21355675
556,6.213556747,7.213556747,7.213556747,7.213556747
444,4.213556747,5.213556747,4.213556747,4.213556747
620,15.21355675,16.21355675,16.21355675,16.21355675
733,12.21355675,14.21355675,14.21355675,14.21355675
649,13.21355675,16.21355675,15.21355675,15.21355675
700,14.21355675,15.21355675,14.21355675,14.21355675
760,17.21355675,19.21355675,20.21355675,19.21355675
592,11.21355675,13.21355675,11.21355675,11.21355675
780,15.28748024,20.28748024,20.28748024,20.28748024
786,10.28748024,12.28748024,14.28748024,13.28748024
723,9.290218143,13.29021814,14.29021814,14.29021814
811,13.29021814,18.29021814,15.29021814,15.29021814
827,17.29021814,17.29021814,20.29021814,17.29021814
701,15.29021814,19.29021814,16.29021814,18.29021814
709,11.29021814,11.29021814,13.29021814,11.29021814
787,15.29021814,16.29021814,18.29021814,17.29021814
617,13.29021814,14.29021814,14.29021814,14.29021814
749,15.29021814,15.29021814,17.29021814,15.29021814
789,17.29021814,18.29021814,18.29021814,18.29021814
710,14.29021814,14.29021814,15.29021814,14.29021814
742,12.29295605,14.29295605,11.29295605,12.29295605
693,9.29295605,10.29295605,9.29295605,9.29295605
632,15.29295605,16.29295605,13.29295605,14.29295605
574,11.29295605,14.29295605,11.29295605,11.29295605
695,19.29295605,17.29295605,16.29295605,17.29295605
664,16.29295605,13.29295605,12.29295605,12.29295605
709,14.29295605,14.29295605,13.29295605,14.29295605
782,18.29295605,22.29295605,20.29295605,21.29295605
533.482,10.36414163,8.364141632,6.364141632,8.364141632
535,13.36414163,14.36414163,13.36414163,13.36414163
730,18.36414163,21.36414163,20.36414163,22.36414163
535,8.364141632,4.364141632,4.364141632,4.364141632
461,8.364141632,8.364141632,6.364141632,8.364141632
463,8.364141632,7.364141632,6.364141632,7.364141632
446,10.36414163,6.364141632,4.364141632,6.364141632
356,4.364141632,4.364141632,2.364141632,4.364141632
415,6.364141632,5.364141632,5.364141632,5.364141632
508,10.43806512,10.43806512,9.438065121,10.43806512
480,7.438065121,6.438065121,9.438065121,6.438065121
